标题： 时间替谢耳朵报复了威尔·惠顿 	 链接：http://tieba.baidu.com//p/2057431156 	 发帖人：GQ依靠 	 发帖时间：2013-05 	 回复数量： 64 
标题： 霍华德搞笑中文 	 链接：http://tieba.baidu.com//p/5518810982 	 发帖人：2726104 	 发帖时间：1-17 	 回复数量： 30 
标题： 【资原帖】整理好了生活大爆炸1-11，中英双字幕高 青，2楼 	 链接：http://tieba.baidu.com//p/5608747045 	 发帖人：小可爱迷... 	 发帖时间：3-21 	 回复数量： 5 
标题： 【资原帖】整理好了生活大爆炸1-11，中英双字幕高 青，2楼 	 链接：http://tieba.baidu.com//p/5608669503 	 发帖人：你的小掰呀 	 发帖时间：3-21 	 回复数量： 7 
标题： 咱们来玩一个游戏吧 	 链接：http://tieba.baidu.com//p/5596927424 	 发帖人：飞浪gan 	 发帖时间：3-15 	 回复数量： 6 
标题： 有木有觉得镇楼图很惊悚 	 链接：http://tieba.baidu.com//p/5556264058 	 发帖人：二代青雉 	 发帖时间：2-18 	 回复数量： 9 
标题： 求助，艾米戴的这个帽子哪里买？ 	 链接：http://tieba.baidu.com//p/5592730018 	 发帖人：1196695359 	 发帖时间：3-13 	 回复数量： 9 
标题： 好吧，我现在才理解了为什么谢耳朵学中文一段说出一句柳丁脚踏车 	 链接：http://tieba.baidu.com//p/3263661918 	 发帖人：南风知桕树 	 发帖时间：2014-08 	 回复数量： 19 
标题： ！！！！！来人鉴定一下，谢耳朵看的是不是  阿衰！！！0704 	 链接：http://tieba.baidu.com//p/5551253810 	 发帖人：花生怎么样 	 发帖时间：2-13 	 回复数量： 13 
标题： 比尔盖茨即将亮相 	 链接：http://tieba.baidu.com//p/5559200652 	 发帖人：cameolg 	 发帖时间：2-21 	 回复数量： 10 
标题： lenard模仿霍金在哪一集？ 	 链接：http://tieba.baidu.com//p/5603164932 	 发帖人：思倾 	 发帖时间：3-18 	 回复数量： 6 
标题： 生活大爆炸的手机铃声等等音频~包括短信音 	 链接：http://tieba.baidu.com//p/1118847783 	 发帖人：左I尛亚 	 发帖时间：2013-03 	 回复数量： 504 
标题： 他们一起看狮子座流星雨那集，小 	 链接：http://tieba.baidu.com//p/5291726929 	 发帖人：凋零的枪花 	 发帖时间：2017-08 	 回复数量： 4 
标题： 酒精烧伤怎么处理好的快点 	 链接：http://tieba.baidu.com//p/5609027222 	 发帖人：法邓不容 	 发帖时间：3-21 	 回复数量： 1 
标题： 单纯善良的谢耳朵啊 	 链接：http://tieba.baidu.com//p/5609147418 	 发帖人：爸爸姓蒋 	 发帖时间：3-21 	 回复数量： 0 
标题： 杨振宁******物，谢尔顿好像没提过？ 	 链接：http://tieba.baidu.com//p/5606023845 	 发帖人：风满楼 	 发帖时间：3-20 	 回复数量： 1 
标题： 生活大爆炸开头曲里面所有图片的解释，新人元老都来看看 	 链接：http://tieba.baidu.com//p/2743539099 	 发帖人：JasonMix 	 发帖时间：2014-02 	 回复数量： 1081 
标题： 最新一集怎么没更新，有大神知道吗？少年谢尔顿也没更新怎么回事 	 链接：http://tieba.baidu.com//p/5609048650 	 发帖人：敏小帅zmm 	 发帖时间：3-21 	 回复数量： 0 
标题： 第十一季第18集怎么还不更新，有人知道吗 	 链接：http://tieba.baidu.com//p/5608075769 	 发帖人：一次次敷... 	 发帖时间：3-21 	 回复数量： 3 
标题： 谢尔顿讲黄笑话哈哈哈哈，对艾米的诱惑真的这么大吗 	 链接：http://tieba.baidu.com//p/5550031261 	 发帖人：hey借个微笑 	 发帖时间：2-12 	 回复数量： 12 
标题： 看到howard的技能 惊呆了 	 链接：http://tieba.baidu.com//p/2799685031 	 发帖人：留给你的... 	 发帖时间：2014-01 	 回复数量： 349 
标题： 按理说莱纳德应该跟谢耳朵一样聪明 	 链接：http://tieba.baidu.com//p/5599923639 	 发帖人：鱼这红肠... 	 发帖时间：3-16 	 回复数量： 11 
标题： 第三季，这不是行尸走肉里的格伦吗，客串了一下下。 	 链接：http://tieba.baidu.com//p/5608829765 	 发帖人：纠灰泊 	 发帖时间：3-21 	 回复数量： 0 
标题： 生活大爆炸算是完结了吗？ 	 链接：http://tieba.baidu.com//p/5115765341 	 发帖人：Zwq_1215 	 发帖时间：2017-05 	 回复数量： 13 
标题： 质子教授的扮演者鲍伯·纽哈特简介 	 链接：http://tieba.baidu.com//p/2305389202 	 发帖人：品清茗梦... 	 发帖时间：2013-12 	 回复数量： 173 
标题： 拉杰家到底有多少钱？ 	 链接：http://tieba.baidu.com//p/5014574635 	 发帖人：lsqwclwx 	 发帖时间：2017-03 	 回复数量： 6 
标题： 【TBBT】《少年谢尔顿》熟肉资源 	 链接：http://tieba.baidu.com//p/5555451893 	 发帖人：玺子 	 发帖时间：2-17 	 回复数量： 55 
标题： 【资原帖】整理好了生活大爆炸1-11，中英双字幕高 青，2楼 	 链接：http://tieba.baidu.com//p/5606961390 	 发帖人：你的小掰呀 	 发帖时间：3-20 	 回复数量： 9 
标题： 这个小帅哥是谁啊 	 链接：http://tieba.baidu.com//p/5586819022 	 发帖人：无中生有 	 发帖时间：3-10 	 回复数量： 15 
标题： 少年谢尔顿第15集没看明白，保姆怎么了？ 	 链接：http://tieba.baidu.com//p/5600529514 	 发帖人：美在不期... 	 发帖时间：3-17 	 回复数量： 5 
标题： 小白求教：明明被吻了，可谢耳朵为什么就突然下定决心求婚了呢？ 	 链接：http://tieba.baidu.com//p/5114870802 	 发帖人：lovelovewisdom 	 发帖时间：2017-05 	 回复数量： 7 
标题： 谢耳朵的这个手势是什么意思 	 链接：http://tieba.baidu.com//p/5040393017 	 发帖人：食堂菜十... 	 发帖时间：2017-03 	 回复数量： 11 
标题： 越来越喜欢西蒙·赫尔伯格了 	 链接：http://tieba.baidu.com//p/3546109360 	 发帖人：AE86ku 	 发帖时间：2015-01 	 回复数量： 49 
标题： 想做一套TBBT的表情 	 链接：http://tieba.baidu.com//p/5343151318 	 发帖人：红眼章鱼 	 发帖时间：2017-09 	 回复数量： 47 
标题： 威尔·惠顿是不是真的是星战的演员啊！还是。。。 	 链接：http://tieba.baidu.com//p/1467102489 	 发帖人：zhkjack 	 发帖时间：2014-02 	 回复数量： 42 
标题： 感觉早期蜘蛛侠和耳朵挺像的 	 链接：http://tieba.baidu.com//p/4039726074 	 发帖人：羽藤青原 	 发帖时间：2015-09 	 回复数量： 11 
标题： 最触动我的是，看着看着也对有现在做的事了热爱，也更喜欢现在的 	 链接：http://tieba.baidu.com//p/5576361052 	 发帖人：一枚老司机e 	 发帖时间：3-4 	 回复数量： 1 
标题： Sheldon报复Kripke，结果把一堆液体都泼到校董身上 	 链接：http://tieba.baidu.com//p/5607491353 	 发帖人：简称顿... 	 发帖时间：3-20 	 回复数量： 0 
标题： 你所不知道的Amy 	 链接：http://tieba.baidu.com//p/4990672549 	 发帖人：鬮乆 	 发帖时间：2017-02 	 回复数量： 38 
标题： 谢尔顿？ 	 链接：http://tieba.baidu.com//p/5605890704 	 发帖人：方禹之 	 发帖时间：3-20 	 回复数量： 2 
标题： 中国人民解放军在全球竟有这么多铁杆粉丝！ 	 链接：http://tieba.baidu.com//p/5484960121 	 发帖人：大树呦 	 发帖时间：2017-12 	 回复数量： 8 
标题： 谢尔顿和艾米去领证结婚，大喜的日子谢尔顿却担心有梅毒？ 	 链接：http://tieba.baidu.com//p/5470836375 	 发帖人：沐K拉哇 	 发帖时间：2017-12 	 回复数量： 40 
标题： 生活大爆炸续约了！！！！！！ 	 链接：http://tieba.baidu.com//p/5003543432 	 发帖人：好玩不明显 	 发帖时间：2017-03 	 回复数量： 83 
标题： 【资原帖】整理好了生活大爆炸1-11，中英双字幕高 青，2楼 	 链接：http://tieba.baidu.com//p/5606118696 	 发帖人：云飘飘小... 	 发帖时间：3-20 	 回复数量： 3 
标题： 【TBBT】《生活大爆炸》第十季熟肉 	 链接：http://tieba.baidu.com//p/5546422491 	 发帖人：玺子 	 发帖时间：2-9 	 回复数量： 171 
标题： 【TBBT】生活大爆炸吧2018吧务招募贴 	 链接：http://tieba.baidu.com//p/5545392306 	 发帖人：玺子 	 发帖时间：2-8 	 回复数量： 22 
标题： 霍金刚刚去世了！终年76岁！！ 	 链接：http://tieba.baidu.com//p/5595059387 	 发帖人：TBBT爱 	 发帖时间：3-14 	 回复数量： 50 
标题： 【趣闻&科普】各种手势的含义 	 链接：http://tieba.baidu.com//p/2389847360 	 发帖人：清宵残梦C 	 发帖时间：2013-06 	 回复数量： 201 
标题： 34首SHELDON经典铃声 	 链接：http://tieba.baidu.com//p/1173496796 	 发帖人：蜜柑_阿酱 	 发帖时间：2014-01 	 回复数量： 2903 
标题： 生肉版的生活大爆炸 大家能听懂多少 	 链接：http://tieba.baidu.com//p/2000528811 	 发帖人：冬夜1989 	 发帖时间：2012-11 	 回复数量： 6 
标题： 今天在地铁上看到一个巨像sheldon的人！有图有真相 	 链接：http://tieba.baidu.com//p/808120671 	 发帖人：0.0.0.* 	 发帖时间：2013-08 	 回复数量： 577 
标题： 总感觉，自从谢尔顿搬到隔壁。 	 链接：http://tieba.baidu.com//p/5602190431 	 发帖人：千的城 	 发帖时间：3-18 	 回复数量： 2 
标题： AMY的中文是贼溜啊 	 链接：http://tieba.baidu.com//p/5061962213 	 发帖人：LsPole_star 	 发帖时间：2017-04 	 回复数量： 92 
标题： 【TBBT】S11E15熟肉 	 链接：http://tieba.baidu.com//p/5545708275 	 发帖人：玺子 	 发帖时间：2-8 	 回复数量： 42 
标题： 剧组觉得这部剧终于播不下去了，终于把Amy打发走了。 	 链接：http://tieba.baidu.com//p/5105510381 	 发帖人：草草罢了 	 发帖时间：2017-05 	 回复数量： 40 
标题： 第十季最后一集谢耳朵求婚不是全剧终么？？第十一季是啥？咋回事 	 链接：http://tieba.baidu.com//p/5577563437 	 发帖人：752621192 	 发帖时间：3-4 	 回复数量： 18 
标题： 注意看右边克莱尔妹纸 	 链接：http://tieba.baidu.com//p/5555130371 	 发帖人：耳朵Moonpie 	 发帖时间：2-17 	 回复数量： 28 
标题： 开个帖，记录一下截屏的图，以后拿来发朋友圈 	 链接：http://tieba.baidu.com//p/5555207140 	 发帖人：bboystruggle 	 发帖时间：2-17 	 回复数量： 42 
标题： 18集难道因为霍金推迟了？ 	 链接：http://tieba.baidu.com//p/5602667627 	 发帖人：OctomaRon 	 发帖时间：3-18 	 回复数量： 1 
标题： 我们只不过是生活在卡马里奥州精神病院 	 链接：http://tieba.baidu.com//p/1848402385 	 发帖人：夏侯惇_库伯 	 发帖时间：2012-09 	 回复数量： 3 
标题： 【TBBT】《生活大爆炸》发布第十一季第16集剧照！ 	 链接：http://tieba.baidu.com//p/5544697568 	 发帖人：玺子 	 发帖时间：2-8 	 回复数量： 33 
标题： 自己做生意就是一场修行，切实感受 	 链接：http://tieba.baidu.com//p/5603212874 	 发帖人：funYS6o 	 发帖时间：3-18 	 回复数量： 0 
标题： 谢尔顿最好的朋友走掉了 	 链接：http://tieba.baidu.com//p/5595103975 	 发帖人：cleric__1 	 发帖时间：3-14 	 回复数量： 25 
标题： 【吧务】TBBT吧资源网盘 	 链接：http://tieba.baidu.com//p/1989079065 	 发帖人：墙角茕茇 	 发帖时间：2014-03 	 回复数量： 393 
标题： 《生活大爆炸》漫画！大爱《生活大爆炸》，特别是谢耳朵，终于有 	 链接：http://tieba.baidu.com//p/5565953656 	 发帖人：谢尔顿... 	 发帖时间：2-25 	 回复数量： 74 
标题： 刚看到第六季，故事发生在加州，为什么竟然一个拉丁裔和黑人都没 	 链接：http://tieba.baidu.com//p/5601828271 	 发帖人：野到联合国 	 发帖时间：3-18 	 回复数量： 0 
标题： 奥克斯 HX-PB835破壁机怎么样，可有说的那么靠谱 	 链接：http://tieba.baidu.com//p/5562313655 	 发帖人：逝去的人流 	 发帖时间：2-23 	 回复数量： 6 
标题： 生活大爆炸测试题，你能撑到第几题？ 	 链接：http://tieba.baidu.com//p/5565359914 	 发帖人：是你的辣... 	 发帖时间：2-25 	 回复数量： 58 
标题： 【资原帖】生活大爆炸1-11，中英双字高 青，2楼 	 链接：http://tieba.baidu.com//p/5598998345 	 发帖人：小可爱迷... 	 发帖时间：3-16 	 回复数量： 9 
标题： 谢耳朵版吕秀才 	 链接：http://tieba.baidu.com//p/4935692275 	 发帖人：苏北的河 	 发帖时间：2017-01 	 回复数量： 17 
标题： 霍金这集是真人吗？？ 	 链接：http://tieba.baidu.com//p/1803484135 	 发帖人：雨墨寒 	 发帖时间：2012-08 	 回复数量： 122 
标题： 【生活大爆炸】比尔·盖茨客串将于3.30播出 	 链接：http://tieba.baidu.com//p/5598932136 	 发帖人：玺子 	 发帖时间：3-16 	 回复数量： 3 
标题： 不知道是不是只有我无聊的时候会翻来覆去的看每一季！ 	 链接：http://tieba.baidu.com//p/5334648333 	 发帖人：旋转烟花 	 发帖时间：2017-09 	 回复数量： 0 
标题： 生活大爆炸里面，莱德的房租是多少钱？还有佩妮的房租是？ 	 链接：http://tieba.baidu.com//p/1978320455 	 发帖人：不止的旋律 	 发帖时间：2012-11 	 回复数量： 39 
标题： 霍金去世了，谢耳朵得多难过啊。昨天刚刚把第五季翻出来看了一遍 	 链接：http://tieba.baidu.com//p/5595762246 	 发帖人：酱八险瞻 	 发帖时间：3-14 	 回复数量： 6 
标题： 第十季季终 	 链接：http://tieba.baidu.com//p/5112552344 	 发帖人：tennis1989 	 发帖时间：2017-05 	 回复数量： 79 
标题： 第十季21集，里面是国内的三只松鼠赞助了吗？ 	 链接：http://tieba.baidu.com//p/5072987118 	 发帖人：卷卷贾超 	 发帖时间：2017-04 	 回复数量： 26 
标题： 【资原帖】生活大爆炸1-11，中英双字高 青，2楼 	 链接：http://tieba.baidu.com//p/5597946892 	 发帖人：小可爱迷... 	 发帖时间：3-15 	 回复数量： 5 
标题： 因为不是喜剧，是悲剧，就说小谢尔顿这部剧很难看？？ 	 链接：http://tieba.baidu.com//p/5499312808 	 发帖人：耳朵Moonpie 	 发帖时间：2017-12 	 回复数量： 35 
标题： 有没有知道第一季第17级的桌游是什么 	 链接：http://tieba.baidu.com//p/5222104462 	 发帖人：XXdbXX126 	 发帖时间：2017-07 	 回复数量： 9 
标题： 终于知道拉杰斯老爹为什么这么有钱了 	 链接：http://tieba.baidu.com//p/5092702331 	 发帖人：he1052838149 	 发帖时间：2017-04 	 回复数量： 15 
标题： 大爆炸片酬 	 链接：http://tieba.baidu.com//p/5598270251 	 发帖人：nothing2342011 	 发帖时间：3-16 	 回复数量： 0 
标题： 拉杰之前认识的克莱尔妹纸在另一部剧里，客串过 	 链接：http://tieba.baidu.com//p/5139841492 	 发帖人：耳朵Moonpie 	 发帖时间：2017-05 	 回复数量： 39 
标题： 《生活大爆炸》S10：最好的爱情，就是让人情不自禁（多图长文！ 	 链接：http://tieba.baidu.com//p/5114890595 	 发帖人：opllx的影子 	 发帖时间：2017-05 	 回复数量： 45 
标题： 【资原帖】生活大爆炸1-11，中英双字高 青，2楼 	 链接：http://tieba.baidu.com//p/5597401571 	 发帖人：你的小掰呀 	 发帖时间：3-15 	 回复数量： 6 
标题： 【资原帖】生活大爆炸1-11，中英双字高 青，2楼 	 链接：http://tieba.baidu.com//p/5597341892 	 发帖人：小可爱迷... 	 发帖时间：3-15 	 回复数量： 14 
标题： 为什么所有看大爆炸的人都最喜欢谢耳朵，而我最讨厌的就是谢耳朵 	 链接：http://tieba.baidu.com//p/3252516220 	 发帖人：乡下来的... 	 发帖时间：2014-08 	 回复数量： 323 
标题： 生活大爆炸第十一季15级 leonard用的是什么键盘？ 	 链接：http://tieba.baidu.com//p/5585599919 	 发帖人：inuyasha_xin 	 发帖时间：3-9 	 回复数量： 7 
标题： 谢耳朵死敌 威尔·惠顿 年轻时的照片！ 	 链接：http://tieba.baidu.com//p/5465743457 	 发帖人：meastt 	 发帖时间：2017-12 	 回复数量： 34 
标题： 求助~大学英语课期中考试要做 role play.朋友们可否 	 链接：http://tieba.baidu.com//p/5596947442 	 发帖人：IOJW11245 	 发帖时间：3-15 	 回复数量： 0 
标题： 有没有哪位大神可以告诉我拉杰仕最后和谁在一起了啊，， 	 链接：http://tieba.baidu.com//p/5513093432 	 发帖人：筱风A残月 	 发帖时间：1-11 	 回复数量： 3 
标题： 最近看大爆炸整理得表情包 	 链接：http://tieba.baidu.com//p/4997360104 	 发帖人：六儿小可爱 	 发帖时间：2017-02 	 回复数量： 0 
标题： 【求建议】如果要成为霍华德这样的工程师大学应该选什么专业 	 链接：http://tieba.baidu.com//p/3013122465 	 发帖人：M言己 	 发帖时间：2014-04 	 回复数量： 3 
标题： 以后又看不到一个伟人在tbbt 里客串了，好可爱的物理学家 	 链接：http://tieba.baidu.com//p/5595356496 	 发帖人：我爱我家... 	 发帖时间：3-14 	 回复数量： 3 
标题： Stephen William Hawking 	 链接：http://tieba.baidu.com//p/5595778007 	 发帖人：Arthur 	 发帖时间：3-14 	 回复数量： 3 
标题： 【资原帖】生活大爆炸1-11，中英双字高 青，2楼 	 链接：http://tieba.baidu.com//p/5596115804 	 发帖人：S小孩的... 	 发帖时间：3-14 	 回复数量： 4 
标题： 继霍华德的老妈之后，霍华德的女儿也是只闻其声不见其人 	 链接：http://tieba.baidu.com//p/4971189358 	 发帖人：huanggd910 	 发帖时间：2017-02 	 回复数量： 9 
标题： 哦 心疼谢耳朵 霍金去世了 	 链接：http://tieba.baidu.com//p/5595056747 	 发帖人：妖道士 	 发帖时间：3-14 	 回复数量： 7 
标题： 谢耳朵的哥哥是不是在生活大爆炸里从没出场过？ 	 链接：http://tieba.baidu.com//p/5452089394 	 发帖人：铁马秋风... 	 发帖时间：2017-11 	 回复数量： 33 
